lat,lon,depth,cluster
35.15765675,139.60280921875,4.995,22
35.1577,139.60045,10.428,27
35.1577,139.60052,10.501,28
35.1577,139.60063,10.001,28
35.157703,139.60025,10.251,24
35.157703,139.60048,10.782,28
35.157703,139.60051,10.636,28
35.157703,139.60056,10.272,28
35.157703,139.60057,10.095,28
35.157703,139.6006,10.053,28
35.157707,139.59993,19.482,23
35.157715,139.59991,19.617,23
35.15772,139.60025,10.324,24
35.157722,139.59991,19.7,23
35.157734,139.60025,10.032,24
35.15774,139.5999,20.158,23
35.157745,139.60025,10.043,24
35.157753,139.59991,20.054,23
35.157757,139.59988,20.523,23
35.15777,139.59987,19.961,7
35.15777,139.59988,20.523,23
35.15777,139.59991,20.096,23
35.157772,139.60025,12.239,24
35.157776,139.59991,19.961,23
35.15778,139.59988,20.439,23
35.157784,139.59969,22.261,7
35.157784,139.5999,20.585,23
35.157784,139.60025,12.197,24
35.157787,139.5999,20.096,23
35.15779,139.59993,19.222,23
35.157795,139.5999,20.533,23
35.1578,139.59991,20.127,23
35.1578,139.59995,18.753,23
35.1578,139.60025,12.093,24
35.157806,139.59972,22.292,7
35.157806,139.5999,20.429,23
35.157806,139.59996,18.545,23
35.15781,139.60025,11.978,24
35.157814,139.59975,22.052,7
35.157814,139.59996,18.577,23
35.157818,139.59991,20.325,23
35.15782,139.60027,11.281,27
35.157825,139.59998,18.816,23
35.15783,139.59991,20.158,23
35.157833,139.59995,19.461,23
35.157833,139.60027,10.979,27
35.157837,139.59998,18.504,23
35.15784,139.59993,20.106,23
35.15785,139.5998,21.678,7
35.15785,139.59998,18.92,23
35.15785,139.60027,10.126,27
35.157852,139.59981,21.282,7
35.157852,139.59993,19.909,23
35.15785253125,139.5994809375,22.6123,8
35.15785253125,139.59967671875,21.730896296296294,7
35.15785253125,139.5998725,19.941029513888886,7
35.15785253125,139.60006828125,14.985138541666664,23
35.15785253125,139.6002640625,10.737227083333332,24
35.15785253125,139.60045984375,10.17545634920635,27
35.15785253125,139.600655625,10.334285714285715,28
35.15785253125,139.60280921875,12.08783333333333,59
35.15785253125,139.603005,12.08783333333333,59
35.15786,139.59995,19.628,25
35.15786,139.60028,10.397,29
35.157867,139.59984,20.97,9
35.157875,139.59984,20.918,9
35.157875,139.59985,20.835,9
35.157875,139.59996,19.576,25
35.157875,139.60028,10.553,29
35.157883,139.59996,19.086,25
35.157887,139.6003,10.584,29
35.15789,139.59998,18.545,25
35.157894,139.5999,20.533,25
35.157894,139.6003,10.313,29
35.157898,139.59969,21.314,9
35.157898,139.5997,21.407,9
35.157898,139.59972,21.813,9
35.157898,139.59975,21.678,9
35.157898,139.59976,21.699,9
35.1579,139.59967,21.667,8
35.1579,139.59978,21.678,9
35.1579,139.59999,17.671,25
35.157906,139.59966,21.771,8
35.157906,139.5998,21.449,9
35.15791,139.59999,17.983,25
35.15791,139.60031,9.897,29
35.157913,139.59964,22.802,8
35.157913,139.59981,21.376,9
35.157917,139.59982,21.074,9
35.15792,139.59962,22.833,8
35.15792,139.59984,20.981,9
35.15792,139.60295,12.031,59
35.157925,139.60031,9.668,29
35.15793,139.59962,22.989,8
35.15793,139.59985,20.918,9
35.157936,139.59985,20.668,9
35.15794,139.59961,23.02,8
35.15794,139.59987,20.429,9
35.15794,139.60031,9.47,29
35.15794,139.60295,12.072,59
35.157944,139.59988,20.013,25
35.15795,139.59995,17.796,25
35.15795,139.59996,17.307,25
35.157955,139.59961,22.802,8
35.157955,139.60031,9.189,29
35.15796,139.59998,17.067,25
35.157963,139.60297,12.114,59
35.157967,139.59962,22.833,8
35.15797,139.59999,15.319,25
35.157974,139.6,15.049,25
35.157978,139.59962,22.781,8
35.157978,139.60298,12.02,59
35.15798,139.59964,22.625,8
35.157986,139.60002,15.059,25
