lon,lat,depth
139.60927,35.16128,3.751000000000007
139.60942,35.16128,4.462476826703552
139.60927,35.161366,4.496469364144687
139.60942,35.161366,6.243000000000002
139.61235,35.171677,8.17
139.6124,35.171677,7.747335097561912
139.61235,35.171722,8.016322828271155
139.6124,35.171722,7.679999999999992
139.60458,35.158928,17.24399999999999
139.60461,35.158928,17.208171792682144
139.60458,35.15905133333334,17.294961420418353
139.60461,35.15905133333334,17.283323211851222
139.60458,35.159174666666665,17.478335902881973
139.60461,35.159174666666665,17.47685875260074
139.60458,35.159298,17.65896799779167
139.60461,35.159298,17.664369124728534
139.5983,35.165348,43.21
139.5983,35.165348,43.21
139.5983,35.16539,43.24100000000001
139.5983,35.16539,43.24100000000001
139.6004,35.166523,40.17099999999988
139.60056,35.166523,40.88676277588617
139.6004,35.166615,40.13438619952804
139.60056,35.166615,40.59642477325521
139.59988,35.16849,41.33700000000002
139.59996,35.16849,41.29511111111112
139.59988,35.168568,41.295111111111126
139.59996,35.168568,41.27400000000002
139.60616,35.169613,26.606940065220602
139.60627846153844,35.169613,26.451101591197215
139.60639692307691,35.169613,26.237783952437415
139.60651538461536,35.169613,26.025427684680494
139.60663384615384,35.169613,25.814314656167898
139.6067523076923,35.169613,25.604864602039946
139.60687076923077,35.169613,25.397699576586756
139.60698923076922,35.169613,25.19376039442046
139.6071076923077,35.169613,24.994486870244344
139.60722615384614,35.169613,24.802027689863163
139.60734461538462,35.169613,24.619162848231987
139.60746307692307,35.169613,24.448194451996407
139.60758153846155,35.169613,24.29268782914608
139.6077,35.169613,24.164974921413595
139.60616,35.16976,26.431475130542147
139.60627846153844,35.16976,26.30812713396887
139.60639692307691,35.16976,26.13318183242587
139.60651538461536,35.16976,25.936180610050005
139.60663384615384,35.16976,25.730708441439702
139.6067523076923,35.16976,25.5217399421524
139.60687076923077,35.16976,25.31145365040381
139.60698923076922,35.16976,25.101164768331213
139.6071076923077,35.16976,24.892118607498897
139.60722615384614,35.16976,24.686186114857392
139.60734461538462,35.16976,24.487323724708773
139.60746307692307,35.16976,24.305933545217204
139.60758153846155,35.16976,24.10615194592237
139.6077,35.16976,23.971119831071675
139.60616,35.169907,26.250552264496935
139.60627846153844,35.169907,26.13307794324772
139.60639692307691,35.169907,25.98308314281949
139.60651538461536,35.169907,25.80934058724802
139.60663384615384,35.169907,25.620448518232415
139.6067523076923,35.169907,25.422163736491548
139.60687076923077,35.169907,25.217854579198907
139.60698923076922,35.169907,25.009381591822283
139.6071076923077,35.169907,24.797618351845173
139.60722615384614,35.169907,24.58248803750196
139.60734461538462,35.169907,24.36188636850918
139.60746307692307,35.169907,24.124139117246568
139.60758153846155,35.169907,23.892874452837184
139.6077,35.169907,23.738000000000127
139.60771,35.1727,19.653416963374106
139.607925,35.1727,19.65341670333677
139.60814,35.1727,19.70000000000001
139.60771,35.17283,19.653417032132637
139.607925,35.17283,19.65341656499353
139.60814,35.17283,19.65341653590382
139.59981,35.158768,19.716721962893363
139.59987,35.158768,19.440657222155192
139.59981,35.158775,19.69891604870253
139.59987,35.158775,19.39900000000001
139.60277,35.157772,8.387999999999995
139.603,35.157772,10.361055151982928
139.60277,35.158016,10.797263537188103
139.603,35.158016,12.124000000000107
139.60066,35.158764,20.39799999999949
139.6008025,35.158764,20.5748483137309
139.600945,35.158764,20.605860379891702
139.6010875,35.158764,20.134158056883827
139.60123,35.158764,19.311522123209137
139.60066,35.15879,20.486990131840873
139.6008025,35.15879,20.52480410800404
139.600945,35.15879,20.63912319462796
139.6010875,35.15879,20.139439056114277
139.60123,35.15879,19.209211200479754
139.60335,35.158283,14.590999999999994
139.60358,35.158283,13.965999999999996
139.60335,35.158344,14.853851778957997
139.60358,35.158344,14.397974136196854
139.60307,35.159843,20.163428571919543
139.60323,35.159843,20.163428572867282
139.60339000000002,35.159843,20.16342856986577
139.60355,35.159843,20.453000000000003
139.60307,35.15995,20.163428571864706
139.60323,35.15995,20.16342857323683
139.60339000000002,35.15995,20.163428571924396
139.60355,35.15995,20.163428567861004
139.60379,35.160725,17.337999999999987
139.60394333333335,35.160725,16.7856808384591
139.60409666666666,35.160725,16.628017723655542
139.60425,35.160725,16.489150128445296
139.60379,35.16085,16.959946100583846
139.60394333333335,35.16085,16.58704784614983
139.60409666666666,35.16085,16.472866924455854
139.60425,35.16085,16.245000000000488
139.60614,35.159683,14.080999999999994
139.60625,35.159683,13.410557037126326
139.60614,35.159817,10.004522482034066
139.60625,35.159817,8.346000000000087
139.6076,35.16064,10.829585352276288
139.6077,35.16064,9.802000000000001
139.6076,35.160675,10.979000000000008
139.6077,35.160675,10.312753055709958
139.60065,35.16336,38.62000000000001
139.60065,35.16336,38.62000000000001
139.60065,35.16341,38.50600000000001
139.60065,35.16341,38.50600000000001
139.60066,35.163944,38.51433648296502
139.60081,35.163944,38.36305831263477
139.60096,35.163944,38.18644440389839
139.60111,35.163944,37.98148157618866
139.60126,35.163944,37.75401364988361
139.60141,35.163944,37.51100000000057
139.60066,35.164068666666665,38.672454120439994
139.60081,35.164068666666665,38.532457392327096
139.60096,35.164068666666665,38.35588740925759
139.60111,35.164068666666665,38.144235450617956
139.60126,35.164068666666665,37.924576070795965
139.60141,35.164068666666665,37.74998945515232
139.60066,35.16419333333334,38.857782617520385
139.60081,35.16419333333334,38.773904553373605
139.60096,35.16419333333334,38.57223628028388
139.60111,35.16419333333334,38.347834172432414
139.60126,35.16419333333334,38.13733934905644
139.60141,35.16419333333334,37.97150477576696
139.60066,35.164318,39.45299999999981
