lat,lon,depth
35.157894,139.6003,10.355
35.157898,139.59969,21.719
35.157898,139.5997,21.6725
35.157898,139.59972,21.6725
35.157898,139.59975,21.678
35.157898,139.59976,21.678
35.1579,139.59967,21.719
35.1579,139.59978,21.5635
35.1579,139.59999,18.545
35.1579,139.60294,11.963000000000001
35.1579,139.60385,6.249499999999999
35.1579,139.60387,6.249499999999999
35.157906,139.59966,21.771
35.157906,139.5998,21.449
35.157906,139.60384,6.265
35.15791,139.59999,18.545
35.15791,139.60031,9.897
35.15791,139.60388,6.265
35.157913,139.59964,22.802
35.157913,139.59981,21.225
35.157913,139.60382,6.265
35.157917,139.59982,21.074
35.157917,139.6039,6.3065
35.15792,139.59962,22.8175
35.15792,139.59984,20.918
35.15792,139.60295,11.963000000000001
35.15792,139.6038,6.275
35.157925,139.60031,9.782499999999999
35.15793,139.59962,22.833
35.15793,139.59985,20.918
35.157936,139.59985,20.918
35.157936,139.6038,6.4675
35.15794,139.59961,22.833
35.15794,139.59987,20.668
35.15794,139.60031,9.568999999999999
35.15794,139.60295,12.0515
35.157944,139.59988,20.668
35.15795,139.59995,17.186999999999998
35.15795,139.59996,17.067
35.15795,139.60379,6.8735
35.157955,139.59961,22.833
35.157955,139.60031,9.568999999999999
35.157955,139.60394,7.566
35.15796,139.59998,16.193
35.157963,139.60297,12.093
35.157967,139.59962,22.8175
35.157967,139.60378,7.337
35.15797,139.59999,16.193
35.157974,139.6,15.189
35.157978,139.59962,22.802
35.157978,139.60298,12.119
35.15798,139.59964,22.7915
35.15798,139.60376,7.535
35.157986,139.60002,15.053999999999998
35.157993,139.60004,14.0445
35.157997,139.603,12.114
35.157997,139.60376,8.159
35.158,139.60005,13.602
35.158005,139.60008,12.535
35.158005,139.60033,8.315
35.15801,139.5997,21.001
35.158012,139.60008,12.176
35.158012,139.60374,9.002
35.158016,139.603,12.124
35.15802,139.60034,8.43
35.15802,139.6037,9.0905
35.158024,139.6001,11.469
35.158024,139.60368,8.997
35.158024,139.60371,9.418
35.158028,139.59976,17.661
35.158028,139.60362,8.45
35.158028,139.60388,9.46
35.158028,139.6039,9.502
35.158028,139.60402,12.5875
35.15803,139.60301,12.166
35.15803,139.6036,8.600999999999999
35.15803,139.60373,9.418
35.15803,139.60385,9.398
35.15803,139.60391,10.303
35.15803,139.60393,10.4175
35.158035,139.60011,11.239999999999998
35.158035,139.60034,8.5185
35.158035,139.60364,8.825
35.158035,139.60384,9.387
35.158035,139.60396,11.448
35.15804,139.60368,9.418
35.15804,139.60373,9.439
35.15804,139.60382,9.398
35.15804,139.60397,11.937
35.158043,139.60379,9.502
35.158047,139.59981,16.703
35.158047,139.60011,11.011
35.158047,139.60036,8.5185
35.158047,139.6036,8.752
